Modelos,Escala dos Dados,Variáveis Utilizadas,RMSE Médio,R2 Médio
MLPRegressor,StandardScaler,12,-17333.245418544164,-1.0664113893800207
MLPRegressor,StandardScaler,11,-17333.349249657327,-1.0664393434410517
MLPRegressor,StandardScaler,8,-17350.268575181097,-1.0704523062273257
MLPRegressor,MinMaxScaler,12,-17350.31135215803,-1.0705160790421615
MLPRegressor,StandardScaler,6,-17387.628573668124,-1.0793833140797566
MLPRegressor,QuantileTransformer,8,-17390.50758863129,-1.080118674909265
MLPRegressor,MaxAbsScaler,11,-17391.95015077606,-1.080469409468644
MLPRegressor,MinMaxScaler,11,-17395.472802862856,-1.0813112517964236
MLPRegressor,StandardScaler,7,-17399.28832812506,-1.0822008929175815
MLPRegressor,MaxAbsScaler,10,-17413.59288450216,-1.0856606003472205
MLPRegressor,StandardScaler,10,-17413.81445117495,-1.085659801443512
MLPRegressor,MinMaxScaler,10,-17417.97321378849,-1.0866938758559075
MLPRegressor,MaxAbsScaler,9,-17428.307544456544,-1.0891827446663611
MLPRegressor,MinMaxScaler,9,-17429.972389896408,-1.0895821957180165
MLPRegressor,QuantileTransformer,7,-17452.9236958318,-1.0950884879702458
MLPRegressor,StandardScaler,5,-17454.562537573747,-1.095440619424889
MLPRegressor,MaxAbsScaler,8,-17475.81770564401,-1.1005887020016094
MLPRegressor,MinMaxScaler,8,-17478.13452158464,-1.1011521708841296
MLPRegressor,QuantileTransformer,6,-17478.147022879613,-1.1011517974187475
MLPRegressor,MinMaxScaler,7,-17513.70884817086,-1.109714858029056
MLPRegressor,MaxAbsScaler,7,-17514.15829890426,-1.1098276386070693
MLPRegressor,MaxAbsScaler,6,-17527.722909235094,-1.113098931614904
MLPRegressor,MinMaxScaler,6,-17532.53428169466,-1.114252312739093
MLPRegressor,StandardScaler,4,-17555.149865639076,-1.1197104142559873
MLPRegressor,StandardScaler,3,-17589.200464745103,-1.1279554185939547
MLPRegressor,QuantileTransformer,5,-17621.687607757543,-1.1358109596853185
MLPRegressor,MinMaxScaler,5,-17641.427816843727,-1.1406099121358726
MLPRegressor,MaxAbsScaler,5,-17646.96646302982,-1.1419562781298833
MLPRegressor,QuantileTransformer,4,-17657.717115116666,-1.1445681601896378
MLPRegressor,Normalizer,7,-17659.111048123417,-1.1449082755551125
MLPRegressor,MinMaxScaler,4,-17665.0236865253,-1.1463498267356103
MLPRegressor,QuantileTransformer,3,-17666.80855008845,-1.1467820662429768
MLPRegressor,Normalizer,9,-17668.162239547783,-1.1471144877304777
MLPRegressor,Normalizer,6,-17670.49823688578,-1.1476824881295797
MLPRegressor,MaxAbsScaler,3,-17674.933406386986,-1.1487584875940644
MLPRegressor,MaxAbsScaler,4,-17678.26990015166,-1.149569566767177
MLPRegressor,MinMaxScaler,3,-17680.902791575794,-1.1502102415631061
MLPRegressor,Normalizer,8,-17681.811648304196,-1.1504341968012464
MLPRegressor,Normalizer,11,-17689.109770319195,-1.1522098929375193
MLPRegressor,Normalizer,12,-17691.12268875918,-1.1527006616275455
MLPRegressor,Normalizer,10,-17694.519152692945,-1.1535268441735818
MLPRegressor,Normalizer,4,-17703.63845593747,-1.1557519056833137
MLPRegressor,Normalizer,5,-17710.556297206524,-1.1574363712997329
MLPRegressor,Normalizer,3,-17713.18400486012,-1.1580756996007537
SGDRegressor,RobustScaler,3,-10210471619.843987,-3307555226135.0396
SGDRegressor,RobustScaler,9,-17627730068.648064,-4785506699417.515
SGDRegressor,RobustScaler,10,-19120366067.87171,-4750900405911.432
SGDRegressor,RobustScaler,8,-23765814002.061714,-8279278001431.033
SGDRegressor,RobustScaler,4,-28408466009.312965,-16655900780831.85
SGDRegressor,RobustScaler,12,-29781820151.07419,-10124232542629.16
SGDRegressor,RobustScaler,6,-34123046102.05777,-16551862452141.729
SGDRegressor,RobustScaler,7,-39158055824.16228,-17969038421765.57
SGDRegressor,RobustScaler,5,-53372536215.18248,-35018707792095.77
SGDRegressor,RobustScaler,11,-72595565345.02768,-68777556809720.984
SGDRegressor,Original,4,-216903829250.61734,-845015554312536.9
SGDRegressor,Original,8,-360272931704.9315,-1155341148050623.5
SGDRegressor,Original,6,-365457842196.3949,-3346344137886760.0
SGDRegressor,Original,9,-366662783883.93066,-2015165950622379.2
SGDRegressor,Original,7,-428955555192.46326,-2431085624281152.5
SGDRegressor,Original,11,-462290634339.7816,-2176283151954538.0
SGDRegressor,Original,10,-552920152320.2395,-3520944844559679.5
SGDRegressor,Original,5,-584194335462.7166,-4615900288014136.0
SGDRegressor,Original,3,-601121367048.1614,-4799318433226522.0
SGDRegressor,Original,12,-649306692319.6941,-4321979745503510.5
